Aqp3,Scgb1a1,AU040972,Lrmp,Chga,Stap1
Icam1,Bpifa1,Tmem212,Gnat3,Calca,Gm933
Krt17,Scgb3a2,Dynlrb2,Gnb3,Cxcl13,Ascl3
Krt5,Sftpd,Ccdc153,Plac8,Scg2,Foxi1
Krt15,Alox15,Tppp3,Trpm5,Nov,Atp6v0d2
Sfn,Pon1,1110017D15Rik,Gng13,Scg5,Moxd1
Perp,Cyp4a12b,Fam183b,Ltc4s,Pcsk1,Gnas
Fxyd3,Wfdc1,Sec14l3,Rgs13,Dnajc12,Ldhb
Sdc1,Mgst1,Pltp,Hck,Uchl1,Rasd1
Gstm2,Akr1c18,Rsph1,Alox5ap,Ddc,P2ry14
F3,Sftpa1,Mlf1,Avil,Snca,Tfcp2l1
Epas1,Lypd2,2410004P03Rik,Alox5,Snap25,Cd81
Abi3bp,Ces1f,Tekt1,Ptpn6,Cib3,Cftr
Adh7,Gsto1,Cdh26,Atp2a3,Bex2,Slc12a2
Id1,Tst,Cdhr3,Plk2,Guk1,Asgr1
Upk1b,Ffar4,Nme5,Zfp428,Chgb,Parm1
Hspa1a,Hp,Ccdc17,Ethe1,Ascl1,Atp6v1e1
Dapl1,Chad,Adam8,Mctp1,Ngf,Iqgap1
Hspb1,Selenbp1,Cyp2s1,Fxyd6,Cplx2,Rbpms
Zfp296,Mgat3,1700007K13Rik,1810046K07Rik,Igfbp5,
Dcn,Gabrp,Tm4sf1,Pik3r5,Pkib,
Rplp0,,Elof1,Cd300lf,Lrp11,
Fam107b,,Ly6a,Rassf6,Tcerg1l,
Tacstd2,,Sntn,Dclk1,Rbp4,
Rpl13,,Ppil6,Spib,Mthfd2,
Sat1,,Ifitm1,Pik3cg,Cd9,
Sult1d1,,Tctex1d4,Pde2a,Meis2,
Hpgd,,Aldh3b1,Matk,Ly6h,
S100a14,,Lrrc48,Vav1,Tmem158,
Rps18,,Foxj1,Sh2d7,Cacna2d1,
Emp1,,1700026L06Rik,Bmx,Syt7,
Sgk1,,Csrp2,Fyb,Ptp4a3,
Gsta4,,Pifo,Ccdc28b,,